"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"IEXE0102","USD_CLOSE","U.S. dollar (close)"

"OBSERVATIONS"
"date","IEXE0102"
"2012-01-03","1.0110"
"2012-01-04","1.0123"
"2012-01-05","1.0191"
"2012-01-06","1.0270"
"2012-01-09","1.0229"
"2012-01-10","1.0170"
"2012-01-11","1.0193"
"2012-01-12","1.0183"
"2012-01-13","1.0227"
"2012-01-16","1.0180"
"2012-01-17","1.0152"
"2012-01-18","1.0112"
"2012-01-19","1.0114"
"2012-01-20","1.0132"
"2012-01-23","1.0074"
"2012-01-24","1.0099"
"2012-01-25","1.0035"
"2012-01-26","1.0017"
"2012-01-27","1.0007"
"2012-01-30","1.0028"
"2012-01-31","1.0028"
"2012-02-01","0.9991"
"2012-02-02","0.9996"
"2012-02-03","0.9936"
"2012-02-06","0.9955"
"2012-02-07","0.9948"
"2012-02-08","0.9961"
"2012-02-09","0.9956"
"2012-02-10","1.0028"
"2012-02-13","0.9993"
"2012-02-14","0.9995"
"2012-02-15","0.9991"
"2012-02-16","0.9965"
"2012-02-17","0.9957"
"2012-02-20","0.9924"
"2012-02-21","0.9966"
"2012-02-22","1.0004"
"2012-02-23","0.9976"
"2012-02-24","0.9997"
"2012-02-27","0.9992"
"2012-02-28","0.9954"
"2012-02-29","0.9895"
"2012-03-01","0.9859"
"2012-03-02","0.9886"
"2012-03-05","0.9942"
"2012-03-06","1.0006"
"2012-03-07","0.9982"
"2012-03-08","0.9911"
"2012-03-09","0.9909"
"2012-03-12","0.9927"
"2012-03-13","0.9892"
"2012-03-14","0.9930"
"2012-03-15","0.9922"
"2012-03-16","0.9919"
"2012-03-19","0.9875"
"2012-03-20","0.9918"
"2012-03-21","0.9923"
"2012-03-22","0.9997"
"2012-03-23","0.9987"
"2012-03-26","0.9912"
"2012-03-27","0.9949"
"2012-03-28","0.9979"
"2012-03-29","0.9967"
"2012-03-30","0.9975"
"2012-04-02","0.9903"
"2012-04-03","0.9904"
"2012-04-04","0.9964"
"2012-04-05","0.9938"
"2012-04-09","0.9965"
"2012-04-10","1.0041"
"2012-04-11","1.0042"
"2012-04-12","0.9945"
"2012-04-13","0.9984"
"2012-04-16","0.9997"
"2012-04-17","0.9902"
"2012-04-18","0.9913"
"2012-04-19","0.9952"
"2012-04-20","0.9926"
"2012-04-23","0.9910"
"2012-04-24","0.9880"
"2012-04-25","0.9835"
"2012-04-26","0.9840"
"2012-04-27","0.9810"
"2012-04-30","0.9879"
"2012-05-01","0.9858"
"2012-05-02","0.9865"
"2012-05-03","0.9889"
"2012-05-04","0.9955"
"2012-05-07","0.9930"
"2012-05-08","0.9983"
"2012-05-09","1.0009"
"2012-05-10","1.0017"
"2012-05-11","1.0009"
"2012-05-14","1.0029"
"2012-05-15","1.0068"
"2012-05-16","1.0127"
"2012-05-17","1.0191"
"2012-05-18","1.0208"
"2012-05-22","1.0218"
"2012-05-23","1.0242"
"2012-05-24","1.0271"
"2012-05-25","1.0295"
"2012-05-28","1.0238"
"2012-05-29","1.0229"
"2012-05-30","1.0292"
"2012-05-31","1.0329"
"2012-06-01","1.0394"
"2012-06-04","1.0397"
"2012-06-05","1.0380"
"2012-06-06","1.0279"
"2012-06-07","1.0279"
"2012-06-08","1.0270"
"2012-06-11","1.0312"
"2012-06-12","1.0267"
"2012-06-13","1.0292"
"2012-06-14","1.0238"
"2012-06-15","1.0222"
"2012-06-18","1.0241"
"2012-06-19","1.0182"
"2012-06-20","1.0192"
"2012-06-21","1.0293"
"2012-06-22","1.0246"
"2012-06-25","1.0292"
"2012-06-26","1.0240"
"2012-06-27","1.0255"
"2012-06-28","1.0328"
"2012-06-29","1.0181"
"2012-07-03","1.0125"
"2012-07-04","1.0132"
"2012-07-05","1.0144"
"2012-07-06","1.0186"
"2012-07-09","1.0193"
"2012-07-10","1.0226"
"2012-07-11","1.0199"
"2012-07-12","1.0186"
"2012-07-13","1.0146"
"2012-07-16","1.0147"
"2012-07-17","1.0126"
"2012-07-18","1.0107"
"2012-07-19","1.0078"
"2012-07-20","1.0127"
"2012-07-23","1.0168"
"2012-07-24","1.0204"
"2012-07-25","1.0152"
"2012-07-26","1.0096"
"2012-07-27","1.0044"
"2012-07-30","1.0018"
"2012-07-31","1.0029"
"2012-08-01","1.0052"
"2012-08-02","1.0072"
"2012-08-03","1.0019"
"2012-08-07","0.9975"
"2012-08-08","0.9946"
"2012-08-09","0.9920"
"2012-08-10","0.9910"
"2012-08-13","0.9925"
"2012-08-14","0.9919"
"2012-08-15","0.9890"
"2012-08-16","0.9867"
"2012-08-17","0.9891"
"2012-08-20","0.9884"
"2012-08-21","0.9897"
"2012-08-22","0.9914"
"2012-08-23","0.9936"
"2012-08-24","0.9916"
"2012-08-27","0.9908"
"2012-08-28","0.9878"
"2012-08-29","0.9895"
"2012-08-30","0.9923"
"2012-08-31","0.9857"
"2012-09-04","0.9858"
"2012-09-05","0.9909"
"2012-09-06","0.9828"
"2012-09-07","0.9782"
"2012-09-10","0.9775"
"2012-09-11","0.9732"
"2012-09-12","0.9766"
"2012-09-13","0.9683"
"2012-09-14","0.9712"
"2012-09-17","0.9753"
"2012-09-18","0.9746"
"2012-09-19","0.9745"
"2012-09-20","0.9765"
"2012-09-21","0.9764"
"2012-09-24","0.9788"
"2012-09-25","0.9806"
"2012-09-26","0.9852"
"2012-09-27","0.9809"
"2012-09-28","0.9832"
"2012-10-01","0.9827"
"2012-10-02","0.9843"
"2012-10-03","0.9881"
"2012-10-04","0.9805"
"2012-10-05","0.9789"
"2012-10-09","0.9786"
"2012-10-10","0.9807"
"2012-10-11","0.9787"
"2012-10-12","0.9793"
"2012-10-15","0.9800"
"2012-10-16","0.9868"
"2012-10-17","0.9780"
"2012-10-18","0.9849"
"2012-10-19","0.9932"
"2012-10-22","0.9926"
"2012-10-23","0.9927"
"2012-10-24","0.9949"
"2012-10-25","0.9939"
"2012-10-26","0.9980"
"2012-10-29","1.0008"
"2012-10-30","0.9993"
"2012-10-31","0.9990"
"2012-11-01","0.9968"
"2012-11-02","0.9956"
"2012-11-05","0.9967"
"2012-11-06","0.9918"
"2012-11-07","0.9961"
"2012-11-08","1.0004"
"2012-11-09","1.0013"
"2012-11-13","1.0019"
"2012-11-14","1.0038"
"2012-11-15","1.0013"
"2012-11-16","1.0010"
"2012-11-19","0.9966"
"2012-11-20","0.9973"
"2012-11-21","0.9965"
"2012-11-22","0.9972"
"2012-11-23","0.9920"
"2012-11-26","0.9938"
"2012-11-27","0.9947"
"2012-11-28","0.9919"
"2012-11-29","0.9928"
"2012-11-30","0.9936"
"2012-12-03","0.9949"
"2012-12-04","0.9932"
"2012-12-05","0.9917"
"2012-12-06","0.9911"
"2012-12-07","0.9910"
"2012-12-10","0.9870"
"2012-12-11","0.9862"
"2012-12-12","0.9847"
"2012-12-13","0.9848"
"2012-12-14","0.9865"
"2012-12-17","0.9837"
"2012-12-18","0.9857"
"2012-12-19","0.9881"
"2012-12-20","0.9873"
"2012-12-21","0.9934"
"2012-12-24","0.9913"
"2012-12-27","0.9949"
"2012-12-28","0.9965"
"2012-12-31","0.9949"
